match_id,stat,difference
G2 STRIDE vs TEAM BDS,game duration,0.0
G2 STRIDE vs TEAM BDS,score,780.0
G2 STRIDE vs TEAM BDS,goals,5.0
G2 STRIDE vs TEAM BDS,assists,4.0
G2 STRIDE vs TEAM BDS,saves,-1.0
G2 STRIDE vs TEAM BDS,shots,7.0
G2 STRIDE vs TEAM BDS,shots conceded,-7.0
G2 STRIDE vs TEAM BDS,goals conceded,-5.0
G2 STRIDE vs TEAM BDS,shooting percentage,45.45
G2 STRIDE vs TEAM BDS,bpm,55.0
G2 STRIDE vs TEAM BDS,avg boost amount,8.230000000000018
G2 STRIDE vs TEAM BDS,amount collected,30.0
G2 STRIDE vs TEAM BDS,amount collected big pads,310.0
G2 STRIDE vs TEAM BDS,amount collected small pads,-280.0
G2 STRIDE vs TEAM BDS,count collected big pads,6.0
G2 STRIDE vs TEAM BDS,count collected small pads,-21.0
G2 STRIDE vs TEAM BDS,amount stolen,171.0
G2 STRIDE vs TEAM BDS,amount stolen big pads,335.0
G2 STRIDE vs TEAM BDS,amount stolen small pads,-164.0
G2 STRIDE vs TEAM BDS,count stolen big pads,4.0
G2 STRIDE vs TEAM BDS,count stolen small pads,-10.0
G2 STRIDE vs TEAM BDS,0 boost time,16.890000000000015
G2 STRIDE vs TEAM BDS,100 boost time,24.78
G2 STRIDE vs TEAM BDS,amount used while supersonic,420.0
G2 STRIDE vs TEAM BDS,amount overfill total,341.0
G2 STRIDE vs TEAM BDS,amount overfill stolen,75.0
G2 STRIDE vs TEAM BDS,time slow speed,-28.470000000000027
G2 STRIDE vs TEAM BDS,time boost speed,33.72000000000003
G2 STRIDE vs TEAM BDS,time supersonic speed,17.95999999999998
G2 STRIDE vs TEAM BDS,time on ground,19.879999999999995
G2 STRIDE vs TEAM BDS,time low in air,-29.0
G2 STRIDE vs TEAM BDS,time high in air,32.34
G2 STRIDE vs TEAM BDS,time powerslide,-0.620000000000001
G2 STRIDE vs TEAM BDS,count powerslide,-6.0
G2 STRIDE vs TEAM BDS,time behind ball,147.06000000000006
G2 STRIDE vs TEAM BDS,time in front of ball,-123.81999999999996
G2 STRIDE vs TEAM BDS,time defensive half,25.819999999999936
G2 STRIDE vs TEAM BDS,time offensive half,-2.6100000000000136
G2 STRIDE vs TEAM BDS,time defensive third,13.460000000000036
G2 STRIDE vs TEAM BDS,time neutral third,0.029999999999972715
G2 STRIDE vs TEAM BDS,time offensive third,9.730000000000018
G2 STRIDE vs TEAM BDS,time ball possession,25.090000000000003
G2 STRIDE vs TEAM BDS,time ball in own side,-48.73999999999998
G2 STRIDE vs TEAM BDS,demos inflicted,8.0
G2 STRIDE vs TEAM BDS,demos taken,-8.0
TEAM BDS vs G2 STRIDE,game duration,0.0
TEAM BDS vs G2 STRIDE,score,123.0
TEAM BDS vs G2 STRIDE,goals,1.0
TEAM BDS vs G2 STRIDE,assists,1.0
TEAM BDS vs G2 STRIDE,saves,0.0
TEAM BDS vs G2 STRIDE,shots,4.0
TEAM BDS vs G2 STRIDE,shots conceded,-4.0
TEAM BDS vs G2 STRIDE,goals conceded,-1.0
TEAM BDS vs G2 STRIDE,shooting percentage,14.29
TEAM BDS vs G2 STRIDE,bpm,-57.0
TEAM BDS vs G2 STRIDE,avg boost amount,-0.07999999999998408
TEAM BDS vs G2 STRIDE,amount collected,-472.0
TEAM BDS vs G2 STRIDE,amount collected big pads,-599.0
TEAM BDS vs G2 STRIDE,amount collected small pads,127.0
TEAM BDS vs G2 STRIDE,count collected big pads,-12.0
TEAM BDS vs G2 STRIDE,count collected small pads,-6.0
TEAM BDS vs G2 STRIDE,amount stolen,359.0
TEAM BDS vs G2 STRIDE,amount stolen big pads,182.0
TEAM BDS vs G2 STRIDE,amount stolen small pads,177.0
TEAM BDS vs G2 STRIDE,count stolen big pads,2.0
TEAM BDS vs G2 STRIDE,count stolen small pads,10.0
TEAM BDS vs G2 STRIDE,0 boost time,19.379999999999995
TEAM BDS vs G2 STRIDE,100 boost time,3.3499999999999943
TEAM BDS vs G2 STRIDE,amount used while supersonic,-473.0
TEAM BDS vs G2 STRIDE,amount overfill total,-514.0
TEAM BDS vs G2 STRIDE,amount overfill stolen,16.0
TEAM BDS vs G2 STRIDE,time slow speed,76.41999999999996
TEAM BDS vs G2 STRIDE,time boost speed,-47.129999999999995
TEAM BDS vs G2 STRIDE,time supersonic speed,-27.72
TEAM BDS vs G2 STRIDE,time on ground,37.139999999999986
TEAM BDS vs G2 STRIDE,time low in air,-16.24000000000001
TEAM BDS vs G2 STRIDE,time high in air,-19.349999999999994
