game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken,result
355,651,0,0,4,4,11,5,0.0,1312,132.42,7522,4980,2542,55,216,1573,777,796,8,69,132.42,85.1,822,561,31,1499054,469.16,378.7,183.02,534.33,430.68,65.86,20.1,177,686.27,344.59,650.95,379.92,491.65,320.73,218.48,130.52,188.01,0,8,0
355,1431,5,4,3,11,4,0,45.45,1367,140.65,7552,5290,2262,61,195,1744,1112,632,12,59,149.31,109.88,1242,902,106,1581149,440.69,412.42,200.98,554.21,401.68,98.2,19.48,171,833.33,220.77,676.77,377.31,505.11,320.76,228.21,155.61,139.27,8,0,1
338,848,1,1,3,7,3,0,14.29,1293,150.09,7079,4885,2194,54,182,1970,1130,840,12,68,142.04,87.36,857,565,78,1457428,497.52,365.33,144.1,555.93,363.32,87.68,21.22,169,783.42,223.52,577.19,429.75,390.58,359.99,256.39,156.86,147.47,3,2,1
338,725,0,0,3,3,7,1,0.0,1350,150.17,7551,5484,2067,66,188,1611,948,663,10,58,122.66,84.01,1330,1079,62,1544258,421.1,412.46,171.82,518.79,379.56,107.03,19.72,177,685.16,320.21,691.01,314.36,516.91,323.98,164.49,165.09,185.65,2,3,0
347,943,1,1,4,8,8,3,12.5,1326,137.51,7329,5069,2260,59,196,1899,1226,673,13,59,143.93,69.42,1014,677,84,1500639,442.19,404.74,167.47,560.33,376.95,77.12,17.19,151,661.23,353.17,644.82,369.57,456.2,354.5,203.7,171.49,179.44,3,8,0
347,1300,3,2,7,8,8,1,37.5,1279,136.51,6955,4578,2377,58,206,1607,902,705,10,58,120.88,111.4,1243,1284,117,1563621,427.16,388.61,212.51,546.59,400.67,81.0,21.0,183,825.43,202.84,684.71,343.55,486.17,340.38,201.71,121.75,147.52,8,3,1
345,1240,4,2,5,9,7,1,44.44,1138,130.07,6244,4040,2204,46,191,1373,703,670,8,55,126.0,77.61,924,488,94,1464543,506.67,369.41,158.6,582.65,367.7,84.34,21.42,181,785.4,249.29,694.9,339.79,517.07,353.65,163.96,113.0,163.69,1,0,1
345,855,1,1,5,7,9,4,14.29,1444,148.86,8248,6169,2079,72,191,2118,1252,866,14,79,130.66,150.27,1512,1142,175,1637362,364.19,422.72,245.17,546.68,389.52,95.88,20.45,189,722.64,309.45,618.63,413.46,429.56,356.95,245.58,167.79,158.23,0,1,0
372,1562,5,5,3,9,9,2,55.56,1225,129.56,7020,4656,2364,52,193,1371,774,597,8,46,175.72,70.55,1050,612,32,1600392,448.22,465.33,176.18,583.62,431.89,74.21,18.85,155,825.83,263.89,723.32,366.39,539.61,334.63,215.47,138.12,168.33,2,8,1
372,1058,2,2,4,9,9,5,22.22,1426,136.66,8688,6341,2347,74,199,2361,1546,815,17,72,171.46,102.16,1854,970,158,1709878,409.98,447.87,249.1,578.91,428.9,99.12,19.24,177,762.03,344.91,688.83,418.12,511.12,338.85,256.98,137.25,168.18,8,2,0
352,1162,3,2,4,8,6,2,37.5,1199,145.13,6820,4527,2293,55,198,1092,495,597,5,52,135.04,69.24,802,952,3,1513960,473.6,388.58,182.75,572.29,392.94,79.71,18.98,151,790.3,254.63,709.76,335.16,536.77,337.93,170.23,151.33,197.1,3,4,1
352,891,2,2,4,6,8,3,33.33,1309,151.66,7664,5458,2206,71,190,1440,861,579,10,51,145.5,139.17,1641,1555,154,1649249,372.73,430.66,244.28,588.1,387.3,72.27,20.45,173,767.24,280.42,649.93,397.75,466.37,348.01,233.29,133.87,129.92,4,3,0
